Col	Row	Sps1	Sps2	C-scoreObs	C-scoreExp	p.less	p.greater	ses
8	18	S8	S18	0	0.992	0.00899100899100899	1	-11.1299595686597
8	19	S8	S19	0	0.993	0.00799200799200799	1	-11.9044229475555
8	20	S8	S20	0	0.992	0.00899100899100899	1	-11.1299595686597
8	21	S8	S21	0	0.988	0.012987012987013	1	-9.0692337052256
8	22	S8	S22	0	0.992	0.00899100899100899	1	-11.1299595686597
8	23	S8	S23	0	2.904	0.032967032967033	1	-5.49724931215604
9	10	S9	S10	0	0.986	0.014985014985015	1	-8.38797608825531
9	12	S9	S12	0	1.956	0.022977022977023	1	-6.66408965344036
9	14	S9	S14	0	0.988	0.012987012987013	1	-9.0692337052256
9	15	S9	S15	0	0.994	0.00699300699300699	1	-12.8647191963136
9	17	S9	S17	0	0.985	0.015984015984016	1	-8.09944442539116
9	18	S9	S18	0	0.983	0.017982017982018	1	-7.60037537772661
9	19	S9	S19	0	0.989	0.011988011988012	1	-9.47729823410564
9	20	S9	S20	0	0.988	0.012987012987013	1	-9.0692337052256
9	21	S9	S21	0	0.987	0.013986013986014	1	-8.70902714694092
9	22	S9	S22	0	0.992	0.00899100899100899	1	-11.1299595686597
9	23	S9	S23	0	2.904	0.032967032967033	1	-5.49724931215604
10	12	S10	S12	0	1.968	0.016983016983017	1	-7.83827149312908
10	14	S10	S14	0	0.99	0.010989010989011	1	-9.94489818952411
10	15	S10	S15	0	0.99	0.010989010989011	1	-9.94489818952411
10	17	S10	S17	0	0.985	0.015984015984016	1	-8.09944442539116
10	18	S10	S18	0	0.995	0.00599400599400599	1	-14.0996808474518
10	19	S10	S19	0	0.995	0.00599400599400599	1	-14.0996808474518
10	20	S10	S20	0	0.99	0.010989010989011	1	-9.94489818952411
10	21	S10	S21	0	0.994	0.00699300699300699	1	-12.8647191963136
10	22	S10	S22	0	0.991	0.00999000999000999	1	-10.4881361547226
10	23	S10	S23	0	2.913	0.02997002997003	1	-5.78353489330435
11	13	S11	S13	297	184.643	0.987012987012987	0.045954045954046	2.08149077868421
12	14	S12	S14	0	1.956	0.022977022977023	1	-6.66408965344036
12	15	S12	S15	0	1.96	0.020979020979021	1	-6.99649912456223
12	17	S12	S17	0	1.962	0.01998001998002	1	-7.18191808421824
12	18	S12	S18	0	1.962	0.01998001998002	1	-7.18191808421824
12	19	S12	S19	0	1.954	0.023976023976024	1	-6.51427529420546
